"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"FMR1-KO","2016","train-train","T4_C1","16-116B","yoked",74,19,149.97,4,4,"16-116A","trained",1,1,0.634,74.2,74.2
"WT","2015","train-conflict","Hab","15143B","yoked",75,36,134.705,8.43,8.43,"15143A","trained",56,29,105.065,12.43,12.43
"FMR1-KO","2016","train-train","T5_C2","16-116B","yoked",75,24,147.568,16.7,16.7,"16-116A","trained",1,1,0.733,380.93,380.93
"FMR1-KO","2016","train-conflict","Hab","16-116D","yoked",76,39,140.867,8.8,8.8,"16-116C","trained",65,28,118.335,1.77,1.77
"WT","2015","train-conflict","Retention","15143B","yoked",77,23,153.8,94.93,94.93,"15143A","trained",33,8,61.634,44.2,44.2
"WT","2015","train-conflict","T1","15148B","yoked",77,22,150.899,0.53,0.53,"15148A","trained",7,7,7.266,8.73,8.73
"WT","2015","train-train","T2","15144D","yoked",80,20,156.436,31.83,31.83,"15144C","trained",3,3,2.965,57.33,57.33
"FMR1-KO","2016","train-train","Retention","16-116B","yoked",84,24,161.47,13.13,13.13,"16-116A","trained",22,11,47.432,197.6,197.6
"WT","2015","train-conflict","T4_C1","15140B","yoked",87,23,164.066,21.83,21.83,"15140A","trained",13,10,17.735,0.87,0.87
"WT","2016","train-train","T3","16-122B","yoked",87,22,168.597,39.2,39.2,"16-122A","trained",9,8,11.168,52.53,52.53
"WT","2015","train-train","T4_C1","15145D","yoked",88,25,180.968,48.1,48.1,"15145C","trained",5,4,4.599,135.2,135.2
"FMR1-KO","2016","train-conflict","T4_C1","16-118D","yoked",88,20,170.231,0.53,0.53,"16-118C","trained",14,13,14.101,9.43,9.43
"WT","2015","train-train","T5_C2","15145D","yoked",93,22,188.667,16.07,16.07,"15145C","trained",9,9,7.2,0.53,0.53
"FMR1-KO","2016","train-train","T6_C3","16-116B","yoked",95,26,183.437,6.57,6.57,"16-116A","trained",0,0,0,599.97,599.97
